checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment,installment_rate,sex,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
0_to_200,24,existing_paid,car_new,1473,<100,unemployed,3,male,none,3,car,30,none,own,1,skilled,1,no,yes,good
<0,12,existing_paid,furniture,861,<100,1_to_4yr,4,male,none,4,unknown,31,none,own,1,skilled,1,no,yes,bad
0_to_200,24,critical,car_new,946,unknown,>7yr,3,female,none,1,car,19,none,own,1,skilled,1,no,yes,good
no_checking,18,existing_paid,furniture,11439,<100,>7yr,4,male,none,3,real_estate,38,none,own,1,skilled,1,no,yes,good
>200,24,existing_paid,furniture,1809,<100,>7yr,3,male,none,4,unknown,30,none,rent,3,skilled,1,no,no,good
no_checking,12,existing_paid,car_used,3655,<100,1_to_4yr,4,male,none,4,car,49,none,own,1,skilled,2,yes,yes,bad
no_checking,24,critical,radio_tv,887,>1000,<1yr,3,male,none,2,unknown,26,stores,own,1,skilled,1,no,no,good
0_to_200,18,existing_paid,business,896,<100,4_to_7yr,4,male,none,3,real_estate,33,none,rent,2,skilled,1,yes,yes,bad
no_checking,48,existing_paid,furniture,4787,500_to_1000,>7yr,3,male,none,3,savings_insurance,31,none,rent,2,skilled,1,yes,yes,good
0_to_200,12,critical,car_new,536,<100,<1yr,3,male,none,2,unknown,51,stores,own,1,unskilled_res,2,no,yes,bad
0_to_200,24,existing_paid,car_used,1244,<100,<1yr,3,female,none,4,real_estate,41,none,free,2,skilled,1,no,yes,bad
0_to_200,24,all_paid,business,1864,100_to_500,unemployed,3,female,none,4,unknown,30,none,own,1,skilled,1,yes,yes,bad
>200,36,existing_paid,radio_tv,1998,<100,4_to_7yr,1,female,none,2,unknown,24,none,own,1,skilled,2,no,yes,bad
no_checking,24,existing_paid,furniture,1538,100_to_500,>7yr,1,male,guarantor,2,unknown,38,none,own,1,skilled,1,yes,yes,good
0_to_200,36,existing_paid,car_new,2581,<100,4_to_7yr,1,male,none,1,car,45,none,own,1,skilled,2,no,yes,good
no_checking,36,existing_paid,furniture,3373,unknown,>7yr,4,male,guarantor,4,car,36,none,own,2,skilled,1,no,yes,good
<0,48,existing_paid,car_used,3502,100_to_500,<1yr,2,male,none,2,car,47,bank,own,2,skilled,1,no,yes,good
0_to_200,18,existing_paid,retraining,744,<100,>7yr,2,male,none,3,car,30,stores,own,2,skilled,2,no,yes,good
no_checking,24,existing_paid,business,1400,500_to_1000,>7yr,4,male,none,3,car,51,bank,own,1,highly_skilled,1,yes,yes,good
<0,48,delayed,car_new,5299,500_to_1000,1_to_4yr,2,male,none,3,unknown,61,bank,own,1,skilled,1,no,yes,good
<0,72,existing_paid,radio_tv,4044,unknown,>7yr,3,female,none,1,car,26,none,own,1,skilled,1,yes,yes,good
<0,48,existing_paid,car_new,525,<100,1_to_4yr,2,male,none,2,unknown,31,none,own,1,skilled,2,yes,yes,good
>200,24,critical,furniture,2480,<100,>7yr,4,male,guarantor,4,real_estate,51,none,own,2,skilled,1,no,yes,good
no_checking,12,existing_paid,business,304,<100,>7yr,4,male,none,4,real_estate,53,bank,rent,2,skilled,1,yes,yes,good
<0,24,no_credits,radio_tv,1886,100_to_500,>7yr,4,male,none,4,savings_insurance,30,none,own,1,unskilled_res,1,no,yes,bad
0_to_200,36,existing_paid,furniture,9976,<100,1_to_4yr,3,male,none,1,savings_insurance,31,none,own,1,skilled,1,no,yes,good
<0,24,no_credits,car_new,770,<100,<1yr,4,male,guarantor,2,car,32,none,rent,1,highly_skilled,1,yes,yes,good
no_checking,24,existing_paid,education,853,<100,1_to_4yr,1,female,none,3,real_estate,40,bank,own,1,skilled,1,no,yes,bad
<0,48,critical,radio_tv,3596,unknown,1_to_4yr,1,female,none,2,unknown,35,none,rent,1,skilled,1,no,yes,good
no_checking,24,existing_paid,furniture,451,100_to_500,>7yr,1,female,none,4,savings_insurance,42,none,own,1,skilled,1,no,yes,good
no_checking,48,critical,car_new,1023,<100,>7yr,3,female,none,3,savings_insurance,35,none,own,1,skilled,1,no,yes,good
0_to_200,24,existing_paid,furniture,3092,>1000,>7yr,3,male,co-applicant,1,real_estate,35,none,own,1,skilled,1,yes,yes,good
<0,18,delayed,other,1021,<100,unemployed,3,female,none,4,car,36,none,own,1,skilled,1,no,yes,bad
>200,24,critical,radio_tv,1462,unknown,>7yr,1,male,none,4,real_estate,53,stores,own,1,unskilled_res,2,no,yes,good
0_to_200,36,existing_paid,furniture,3532,<100,>7yr,3,male,none,1,real_estate,25,none,rent,2,skilled,1,no,yes,good
0_to_200,12,existing_paid,radio_tv,2642,unknown,>7yr,4,male,none,3,car,46,none,free,1,skilled,1,yes,yes,good
no_checking,12,existing_paid,radio_tv,2298,>1000,<1yr,3,male,none,2,real_estate,33,none,own,4,unskilled_res,1,yes,no,good
<0,60,existing_paid,furniture,1332,unknown,<1yr,4,male,none,3,real_estate,35,none,free,1,skilled,1,no,yes,bad
no_checking,12,delayed,car_new,2522,<100,unemployed,2,male,none,2,car,43,none,own,1,skilled,1,no,yes,bad
0_to_200,24,critical,radio_tv,1617,<100,4_to_7yr,4,female,none,3,real_estate,27,none,own,1,unskilled_res,1,no,yes,bad
no_checking,24,existing_paid,radio_tv,2729,<100,4_to_7yr,3,male,none,4,savings_insurance,40,none,own,1,skilled,1,no,yes,good
no_checking,24,existing_paid,radio_tv,1156,unknown,>7yr,2,male,none,3,real_estate,37,none,free,2,unskilled_res,2,no,yes,good
<0,24,all_paid,business,1534,<100,1_to_4yr,2,male,guarantor,1,savings_insurance,41,bank,own,1,skilled,1,no,yes,good
no_checking,12,critical,furniture,741,<100,1_to_4yr,3,male,guarantor,3,car,39,none,own,3,skilled,1,yes,yes,good
no_checking,24,existing_paid,car_new,1751,<100,4_to_7yr,4,female,none,2,real_estate,24,none,rent,3,skilled,1,no,yes,good
<0,24,existing_paid,other,871,500_to_1000,>7yr,3,male,none,4,unknown,28,none,own,1,skilled,2,yes,yes,good
no_checking,36,existing_paid,furniture,663,<100,>7yr,2,female,none,3,unknown,37,stores,own,1,skilled,1,yes,yes,bad
no_checking,12,critical,radio_tv,2281,<100,>7yr,4,female,none,2,real_estate,26,bank,own,2,unskilled_res,1,no,yes,good
no_checking,24,existing_paid,radio_tv,2189,<100,1_to_4yr,4,male,none,2,unknown,29,none,own,1,highly_skilled,1,yes,yes,good
0_to_200,12,critical,radio_tv,3657,unknown,4_to_7yr,3,male,none,4,savings_insurance,28,none,own,2,skilled,1,no,no,good
<0,18,critical,car_new,1226,500_to_1000,>7yr,3,female,none,2,real_estate,42,bank,rent,1,unskilled_res,1,yes,yes,good
<0,12,existing_paid,radio_tv,2610,<100,1_to_4yr,2,female,none,4,real_estate,43,none,own,1,skilled,1,yes,yes,good
<0,12,existing_paid,education,2968,unknown,<1yr,3,female,none,2,savings_insurance,26,none,own,1,unskilled_res,1,no,yes,good
no_checking,48,existing_paid,radio_tv,2698,<100,<1yr,3,female,none,2,car,46,none,own,1,skilled,1,no,yes,good
>200,18,existing_paid,furniture,859,<100,unemployed,4,male,none,3,savings_insurance,41,stores,own,3,skilled,1,no,yes,good
no_checking,60,existing_paid,car_new,2068,<100,4_to_7yr,3,male,none,4,car,29,none,own,1,skilled,1,no,yes,good
0_to_200,60,existing_paid,car_new,2509,<100,<1yr,3,male,none,4,car,42,none,rent,2,highly_skilled,1,yes,yes,good
0_to_200,24,no_credits,furniture,1819,unknown,1_to_4yr,3,female,none,2,savings_insurance,31,none,own,1,skilled,1,no,yes,bad
0_to_200,12,existing_paid,car_used,276,<100,1_to_4yr,4,male,none,3,car,19,none,own,1,unskilled_res,1,yes,yes,good
no_checking,24,critical,other,2088,100_to_500,1_to_4yr,4,male,none,2,unknown,53,none,own,1,highly_skilled,1,no,yes,good
no_checking,36,critical,radio_tv,13243,unknown,1_to_4yr,3,male,none,3,real_estate,55,none,own,1,highly_skilled,1,no,yes,bad
0_to_200,24,existing_paid,radio_tv,1307,100_to_500,4_to_7yr,4,male,none,3,savings_insurance,29,stores,free,1,skilled,1,no,yes,good
no_checking,12,existing_paid,radio_tv,938,unknown,unemployed,3,male,none,4,savings_insurance,31,bank,rent,1,skilled,1,no,yes,good
0_to_200,24,critical,car_new,2530,100_to_500,<1yr,3,female,co-applicant,4,savings_insurance,43,none,own,2,unskilled_res,2,yes,no,bad
0_to_200,48,existing_paid,other,2395,<100,1_to_4yr,2,male,none,3,car,39,bank,rent,1,skilled,1,no,yes,good
0_to_200,36,existing_paid,furniture,5289,<100,1_to_4yr,3,female,none,3,savings_insurance,22,bank,own,1,unskilled_res,1,yes,yes,good
no_checking,12,existing_paid,car_new,582,unknown,1_to_4yr,2,male,none,4,car,58,none,own,2,unskilled_res,1,yes,yes,good
0_to_200,36,critical,furniture,3492,unknown,<1yr,4,male,none,4,car,34,none,own,2,skilled,1,no,yes,good
0_to_200,12,delayed,business,3075,<100,>7yr,2,female,none,1,car,30,none,own,1,unskilled_res,1,yes,yes,bad
0_to_200,12,all_paid,business,1590,unknown,4_to_7yr,4,female,none,2,real_estate,29,none,rent,1,unskilled_nonres,1,yes,yes,good
no_checking,48,existing_paid,car_new,2452,<100,<1yr,3,male,none,3,savings_insurance,27,none,own,3,skilled,2,no,yes,good
no_checking,12,critical,business,4566,<100,<1yr,3,female,none,2,savings_insurance,46,stores,own,1,unskilled_res,1,no,yes,good
no_checking,18,critical,car_used,3964,<100,>7yr,3,male,none,2,savings_insurance,55,bank,free,1,unskilled_res,2,yes,yes,good
no_checking,6,existing_paid,car_new,646,100_to_500,4_to_7yr,1,male,none,1,unknown,30,bank,own,1,unskilled_res,1,no,yes,good
<0,48,delayed,business,3782,<100,1_to_4yr,3,male,none,3,savings_insurance,38,bank,rent,2,unskilled_res,1,no,yes,good
0_to_200,36,existing_paid,business,1705,<100,4_to_7yr,1,male,none,2,real_estate,35,bank,own,1,skilled,1,no,yes,good
<0,24,no_credits,radio_tv,1930,<100,>7yr,3,male,co-applicant,1,savings_insurance,49,none,own,4,skilled,1,no,yes,good
0_to_200,36,delayed,radio_tv,1931,<100,>7yr,3,male,none,2,car,63,none,rent,1,skilled,1,no,yes,bad
no_checking,12,critical,education,1579,<100,1_to_4yr,4,male,none,4,car,30,none,own,2,skilled,1,no,yes,good
no_checking,24,existing_paid,radio_tv,5284,100_to_500,1_to_4yr,2,male,none,4,car,30,none,rent,1,unskilled_res,1,no,yes,good
no_checking,24,critical,business,1676,<100,unemployed,2,male,none,3,real_estate,47,none,own,1,unskilled_res,2,yes,yes,good
no_checking,12,no_credits,radio_tv,660,unknown,>7yr,3,female,none,3,savings_insurance,32,none,rent,3,skilled,1,no,yes,bad
0_to_200,24,existing_paid,other,1268,<100,4_to_7yr,4,male,none,4,car,56,bank,own,1,skilled,1,no,yes,good
no_checking,60,all_paid,other,2123,<100,<1yr,4,male,none,2,unknown,42,none,own,1,skilled,2,no,yes,bad
<0,6,critical,car_new,5465,500_to_1000,>7yr,3,female,co-applicant,2,car,37,none,rent,1,skilled,1,yes,yes,good
<0,18,critical,business,3111,100_to_500,>7yr,3,male,none,2,car,42,bank,own,1,skilled,1,no,yes,bad
>200,12,existing_paid,furniture,840,unknown,>7yr,1,male,none,2,savings_insurance,48,none,free,1,unskilled_res,1,no,yes,good
no_checking,12,existing_paid,furniture,16927,unknown,>7yr,4,male,none,3,savings_insurance,45,none,free,2,skilled,1,no,yes,good
no_checking,60,delayed,radio_tv,2294,<100,>7yr,4,male,none,4,car,41,stores,free,1,skilled,1,no,yes,good
no_checking,24,no_credits,car_new,5697,<100,1_to_4yr,2,female,none,3,savings_insurance,28,none,rent,1,skilled,1,no,yes,bad
<0,24,existing_paid,furniture,1577,<100,>7yr,3,female,none,3,unknown,31,none,own,1,skilled,1,yes,yes,bad
no_checking,36,existing_paid,business,2921,<100,>7yr,1,male,none,4,savings_insurance,51,none,own,2,skilled,1,no,yes,bad
0_to_200,12,critical,car_new,3848,<100,1_to_4yr,4,female,co-applicant,1,real_estate,29,none,own,2,highly_skilled,1,no,yes,bad
<0,24,existing_paid,furniture,5412,<100,<1yr,2,female,none,2,car,30,none,own,1,highly_skilled,1,yes,yes,good
<0,24,existing_paid,business,4682,unknown,>7yr,3,male,none,3,real_estate,37,none,own,1,skilled,1,yes,yes,good
<0,24,existing_paid,furniture,3963,<100,1_to_4yr,2,female,none,3,real_estate,38,bank,own,3,skilled,1,no,yes,good
no_checking,72,all_paid,furniture,1361,<100,>7yr,4,male,none,1,savings_insurance,27,none,own,1,skilled,1,no,yes,bad
<0,36,critical,furniture,1080,100_to_500,unemployed,4,female,none,3,car,39,none,own,2,highly_skilled,1,no,yes,good
>200,24,critical,radio_tv,2439,<100,unemployed,4,female,none,3,savings_insurance,29,none,own,2,skilled,1,yes,yes,bad
0_to_200,48,critical,radio_tv,4187,<100,1_to_4yr,3,male,none,3,real_estate,36,none,rent,2,unskilled_res,1,yes,yes,good
0_to_200,12,existing_paid,education,1479,100_to_500,1_to_4yr,4,male,none,3,car,50,none,own,1,skilled,2,yes,yes,good
0_to_200,6,existing_paid,furniture,4715,100_to_500,4_to_7yr,1,male,none,2,savings_insurance,38,none,own,2,unskilled_res,1,no,yes,good
no_checking,12,delayed,education,6683,<100,1_to_4yr,2,male,none,1,unknown,36,none,rent,2,skilled,1,no,yes,good
no_checking,18,critical,radio_tv,792,<100,<1yr,2,female,none,3,savings_insurance,19,stores,own,1,skilled,1,no,yes,bad
no_checking,24,critical,furniture,851,<100,<1yr,4,female,none,2,car,21,none,rent,1,skilled,1,no,yes,good
no_checking,24,critical,radio_tv,1593,<100,1_to_4yr,3,male,none,4,real_estate,43,none,own,1,unskilled_res,1,yes,yes,good
no_checking,60,existing_paid,radio_tv,2384,<100,<1yr,4,male,none,3,car,59,none,own,1,highly_skilled,1,yes,yes,good
<0,24,critical,radio_tv,1127,500_to_1000,>7yr,4,male,none,2,car,32,none,own,1,skilled,1,yes,yes,good
0_to_200,24,critical,car_new,6105,<100,1_to_4yr,2,male,none,4,unknown,38,none,free,1,skilled,2,yes,yes,good
0_to_200,12,existing_paid,car_new,2648,unknown,<1yr,2,male,guarantor,3,real_estate,38,none,own,1,skilled,1,yes,yes,good
0_to_200,6,existing_paid,car_used,1873,unknown,1_to_4yr,2,male,none,2,savings_insurance,53,stores,rent,1,skilled,1,no,yes,bad
>200,24,existing_paid,car_used,496,<100,<1yr,3,female,none,4,car,19,bank,own,1,skilled,1,no,yes,good
no_checking,24,critical,radio_tv,553,<100,<1yr,2,male,none,4,real_estate,39,none,own,2,unskilled_res,1,no,yes,good
no_checking,48,delayed,car_new,2328,<100,1_to_4yr,1,male,none,3,savings_insurance,42,none,own,3,unskilled_res,2,no,yes,good
0_to_200,12,existing_paid,radio_tv,265,<100,>7yr,4,female,none,1,unknown,26,none,own,1,skilled,2,no,yes,good
no_checking,6,critical,car_used,4497,<100,>7yr,4,male,none,3,savings_insurance,31,none,own,1,unskilled_res,1,no,yes,good
no_checking,24,critical,car_used,1568,<100,>7yr,2,female,none,4,unknown,28,none,rent,1,highly_skilled,2,yes,yes,good
no_checking,12,existing_paid,radio_tv,18424,unknown,1_to_4yr,2,female,none,2,real_estate,19,none,own,2,unskilled_res,1,no,yes,good
no_checking,6,all_paid,car_new,14430,500_to_1000,1_to_4yr,1,male,none,2,car,24,stores,own,2,skilled,2,yes,yes,good
<0,36,critical,business,1535,<100,1_to_4yr,4,male,none,4,car,37,none,own,3,skilled,1,yes,yes,good
<0,12,delayed,car_new,1643,>1000,4_to_7yr,4,male,none,1,savings_insurance,28,none,rent,1,skilled,1,yes,yes,good
<0,24,no_credits,furniture,4429,unknown,>7yr,1,male,none,4,unknown,49,none,rent,3,skilled,1,no,yes,bad
0_to_200,18,critical,business,8373,<100,<1yr,2,male,none,3,real_estate,19,none,free,1,unskilled_res,1,no,yes,good
no_checking,12,existing_paid,radio_tv,413,<100,unemployed,4,male,none,3,unknown,29,none,rent,2,skilled,1,no,yes,good
no_checking,24,no_credits,car_used,362,unknown,4_to_7yr,3,male,none,1,car,40,none,free,1,skilled,1,no,yes,good
no_checking,48,no_credits,furniture,1032,100_to_500,>7yr,1,male,none,4,real_estate,53,bank,rent,3,skilled,1,no,yes,good
no_checking,24,existing_paid,radio_tv,3054,100_to_500,>7yr,3,male,none,3,unknown,35,none,own,1,skilled,1,no,yes,bad
0_to_200,36,critical,other,2827,<100,4_to_7yr,2,female,none,3,savings_insurance,20,none,own,2,highly_skilled,1,no,yes,bad
0_to_200,12,critical,business,4735,<100,>7yr,3,male,co-applicant,3,car,56,none,own,2,skilled,2,no,yes,good
0_to_200,36,existing_paid,furniture,614,<100,1_to_4yr,4,male,none,4,savings_insurance,20,none,own,1,skilled,1,yes,yes,good
no_checking,12,all_paid,other,250,100_to_500,>7yr,4,male,guarantor,4,car,19,none,own,1,skilled,2,yes,no,good
<0,36,existing_paid,car_new,3913,<100,>7yr,3,female,none,3,car,59,none,own,3,skilled,1,no,yes,good
<0,24,existing_paid,car_new,858,<100,>7yr,4,male,none,3,real_estate,30,stores,own,1,skilled,1,yes,yes,bad
<0,60,existing_paid,education,293,<100,1_to_4yr,3,male,none,4,car,24,none,rent,1,highly_skilled,1,no,yes,good
<0,24,existing_paid,car_new,2060,<100,<1yr,4,female,none,3,real_estate,37,none,own,1,unskilled_res,1,no,yes,good
<0,12,existing_paid,car_new,3691,500_to_1000,1_to_4yr,3,male,none,2,savings_insurance,38,stores,free,1,skilled,1,no,yes,good
<0,6,existing_paid,car_used,1619,unknown,1_to_4yr,4,female,none,2,real_estate,33,bank,free,1,skilled,1,yes,no,good
0_to_200,48,existing_paid,furniture,1197,unknown,>7yr,4,male,none,4,real_estate,21,none,rent,1,skilled,1,no,yes,good
no_checking,24,critical,radio_tv,1566,<100,<1yr,1,male,none,3,real_estate,45,none,rent,1,skilled,1,no,yes,good
0_to_200,36,existing_paid,radio_tv,1295,<100,1_to_4yr,4,male,none,3,car,43,none,free,1,skilled,1,no,yes,good
no_checking,12,existing_paid,car_used,537,<100,>7yr,4,male,none,3,savings_insurance,34,none,own,3,skilled,1,no,yes,good
no_checking,18,delayed,furniture,950,<100,<1yr,4,male,none,2,savings_insurance,56,none,own,4,highly_skilled,1,no,yes,bad
>200,6,existing_paid,business,2890,>1000,1_to_4yr,2,female,none,3,real_estate,29,none,own,2,skilled,1,no,yes,good
>200,60,existing_paid,education,2415,<100,1_to_4yr,4,male,none,1,car,19,none,free,1,unskilled_res,1,yes,no,bad
no_checking,36,all_paid,car_used,2103,<100,4_to_7yr,4,male,none,3,car,28,none,rent,3,unskilled_res,1,no,no,good
<0,60,critical,other,738,<100,<1yr,2,male,none,3,savings_insurance,35,none,free,1,unskilled_res,1,yes,yes,good
no_checking,18,existing_paid,radio_tv,1535,<100,>7yr,4,male,none,3,unknown,38,none,own,1,skilled,1,yes,yes,bad
<0,24,critical,car_new,254,500_to_1000,1_to_4yr,1,male,none,4,car,33,bank,own,3,skilled,1,yes,yes,good
0_to_200,36,all_paid,car_new,2123,<100,>7yr,1,male,none,4,car,39,none,own,2,unskilled_res,1,no,yes,bad
>200,18,critical,car_new,6541,<100,1_to_4yr,3,male,none,4,real_estate,22,bank,own,2,skilled,1,yes,yes,good
<0,48,existing_paid,radio_tv,479,<100,1_to_4yr,3,male,none,1,real_estate,51,none,own,2,skilled,1,yes,yes,good
no_checking,60,existing_paid,car_new,1067,<100,<1yr,3,male,none,2,car,35,none,own,1,skilled,1,no,yes,good
<0,48,delayed,radio_tv,2431,<100,unemployed,1,male,none,3,car,48,none,rent,1,skilled,1,no,yes,bad
no_checking,36,no_credits,car_new,5583,100_to_500,1_to_4yr,4,female,none,4,real_estate,19,none,own,2,highly_skilled,1,yes,yes,bad
0_to_200,18,existing_paid,business,1207,<100,<1yr,1,male,none,4,savings_insurance,41,none,own,1,skilled,1,no,yes,good
0_to_200,18,delayed,furniture,969,<100,1_to_4yr,1,female,none,4,car,43,none,rent,1,skilled,1,no,yes,good
<0,60,critical,business,307,<100,4_to_7yr,1,male,none,2,car,40,none,own,2,skilled,1,yes,yes,good
no_checking,6,delayed,retraining,1984,unknown,1_to_4yr,3,male,none,3,car,43,none,own,2,skilled,1,no,yes,bad
no_checking,36,critical,car_new,11360,unknown,<1yr,4,male,none,3,real_estate,50,none,own,1,skilled,2,no,yes,good
no_checking,36,existing_paid,furniture,2320,100_to_500,>7yr,4,female,none,2,savings_insurance,38,stores,own,2,skilled,1,no,yes,bad
0_to_200,24,no_credits,car_new,1772,<100,>7yr,4,female,none,1,real_estate,39,none,own,2,highly_skilled,1,no,yes,good
<0,72,critical,business,2416,<100,<1yr,1,male,none,4,savings_insurance,35,none,own,2,highly_skilled,1,no,yes,good
no_checking,18,existing_paid,radio_tv,1790,<100,<1yr,3,male,none,2,real_estate,51,none,own,1,skilled,1,yes,yes,good
<0,18,existing_paid,car_new,869,100_to_500,>7yr,3,female,none,2,unknown,31,bank,own,1,skilled,1,no,yes,bad
0_to_200,12,critical,car_new,3793,<100,unemployed,3,male,none,1,car,55,none,own,1,skilled,1,yes,yes,good
no_checking,24,existing_paid,furniture,2215,100_to_500,>7yr,1,male,none,4,car,35,none,rent,1,skilled,1,no,yes,bad
0_to_200,18,delayed,retraining,1836,<100,unemployed,4,male,none,3,real_estate,20,none,own,1,skilled,1,yes,yes,good
0_to_200,18,existing_paid,radio_tv,751,500_to_1000,>7yr,3,male,none,3,real_estate,37,bank,rent,1,unskilled_res,1,no,yes,good
>200,48,existing_paid,business,5843,<100,1_to_4yr,4,female,none,4,real_estate,19,none,own,1,unskilled_res,2,yes,yes,bad
<0,60,existing_paid,furniture,3288,<100,>7yr,3,female,none,2,savings_insurance,39,none,own,3,skilled,1,no,yes,bad
no_checking,12,critical,car_new,1099,<100,1_to_4yr,1,male,none,3,car,28,stores,free,1,skilled,2,no,yes,bad
no_checking,24,existing_paid,other,4454,<100,4_to_7yr,3,male,none,1,savings_insurance,31,none,own,2,skilled,2,no,yes,good
no_checking,60,existing_paid,car_new,1155,unknown,<1yr,2,male,none,2,real_estate,19,stores,own,2,skilled,1,no,yes,good
no_checking,12,existing_paid,retraining,894,<100,1_to_4yr,4,female,none,4,real_estate,44,none,own,1,skilled,1,no,yes,good
<0,12,existing_paid,furniture,912,<100,>7yr,3,female,none,4,real_estate,42,none,own,3,unskilled_res,1,yes,yes,good
<0,12,existing_paid,car_new,367,unknown,1_to_4yr,2,female,none,3,car,25,none,free,1,unskilled_res,1,yes,yes,bad
0_to_200,24,existing_paid,radio_tv,2763,>1000,>7yr,4,female,none,3,savings_insurance,37,none,rent,1,unskilled_res,1,no,yes,good
no_checking,12,existing_paid,other,347,<100,1_to_4yr,3,male,none,3,car,44,none,own,2,skilled,1,no,yes,good
<0,60,existing_paid,other,598,100_to_500,>7yr,1,male,co-applicant,1,car,40,bank,own,1,skilled,1,yes,yes,good
0_to_200,24,all_paid,car_new,279,<100,1_to_4yr,3,male,none,2,real_estate,25,none,own,2,skilled,1,yes,yes,good
0_to_200,24,existing_paid,car_new,1673,<100,>7yr,2,female,none,2,real_estate,41,stores,rent,1,unskilled_res,1,yes,yes,good
0_to_200,12,all_paid,radio_tv,1579,<100,>7yr,4,male,none,2,car,35,none,rent,2,unskilled_res,1,no,no,good
0_to_200,24,existing_paid,radio_tv,1347,<100,1_to_4yr,4,male,guarantor,4,car,23,bank,rent,1,unskilled_res,1,yes,yes,good
0_to_200,36,existing_paid,radio_tv,707,>1000,>7yr,4,male,none,2,savings_insurance,52,bank,own,2,highly_skilled,1,no,yes,good
no_checking,36,critical,car_new,629,<100,>7yr,3,male,none,2,real_estate,45,none,free,1,skilled,1,yes,yes,bad
<0,36,delayed,other,2746,100_to_500,<1yr,3,male,none,3,real_estate,33,none,own,2,highly_skilled,1,yes,yes,good
no_checking,24,no_credits,radio_tv,1101,500_to_1000,4_to_7yr,4,male,none,4,savings_insurance,36,none,own,2,skilled,1,yes,yes,good
no_checking,60,delayed,business,2403,<100,<1yr,1,male,none,2,real_estate,38,none,rent,1,skilled,1,no,yes,bad
no_checking,48,critical,radio_tv,815,500_to_1000,>7yr,3,female,none,1,real_estate,40,none,own,2,skilled,1,no,yes,bad
no_checking,36,existing_paid,furniture,2128,<100,<1yr,3,male,none,3,savings_insurance,33,none,rent,1,unskilled_res,1,yes,no,bad
no_checking,12,existing_paid,other,5842,>1000,<1yr,1,male,none,4,real_estate,28,none,own,3,skilled,1,no,yes,bad
no_checking,6,critical,radio_tv,3064,<100,1_to_4yr,3,female,none,3,real_estate,36,none,free,1,skilled,1,yes,yes,good
